epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,338.726,0.88413,0.74695,0.13069,0.74196,0.71625,0.73191,0.30308,0.64421,0.61488,0.06231,0.000665339,0.000665339,0.000665339
2,670.978,0.74048,0.53562,0.07487,0.8208,0.78435,0.84286,0.38684,0.59003,0.54423,0.05513,0.00130563,0.00130563,0.00130563
3,1006.51,0.74912,0.54839,0.07512,0.77808,0.77098,0.81529,0.35331,0.61898,0.56887,0.05863,0.00191952,0.00191952,0.00191952
4,1334.15,0.71081,0.51426,0.06635,0.83402,0.80665,0.86637,0.4003,0.58458,0.52241,0.0556,0.0018812,0.0018812,0.0018812
5,1664.11,0.70557,0.51136,0.06768,0.84984,0.8236,0.88184,0.41621,0.55841,0.55004,0.05155,0.0018416,0.0018416,0.0018416
6,1993.31,0.72156,0.53889,0.07218,0.78102,0.7726,0.80158,0.35754,0.61552,0.55331,0.05658,0.001802,0.001802,0.001802
7,2320.76,0.71371,0.52062,0.07051,0.81979,0.79165,0.8551,0.41117,0.56805,0.55,0.05235,0.0017624,0.0017624,0.0017624
8,2646.34,0.68605,0.50645,0.06506,0.83229,0.81638,0.86097,0.4097,0.57495,0.54399,0.05288,0.0017228,0.0017228,0.0017228
9,2971.14,0.69042,0.52743,0.06629,0.79075,0.77665,0.80657,0.38887,0.57073,0.5573,0.05264,0.0016832,0.0016832,0.0016832
10,3296.04,0.6754,0.50452,0.0639,0.8427,0.8488,0.87401,0.43724,0.54088,0.55114,0.04948,0.0016436,0.0016436,0.0016436
11,3624.85,0.66524,0.50026,0.06105,0.84137,0.82327,0.88115,0.43046,0.56696,0.525,0.05259,0.001604,0.001604,0.001604
12,3950.2,0.65755,0.5009,0.05965,0.8691,0.8128,0.87296,0.42158,0.56909,0.52217,0.05358,0.0015644,0.0015644,0.0015644
13,4274.64,0.64572,0.48832,0.05935,0.85181,0.83421,0.88441,0.44101,0.54594,0.53861,0.05058,0.0015248,0.0015248,0.0015248
14,4603.66,0.67365,0.51548,0.06396,0.87161,0.84759,0.90373,0.44558,0.5581,0.50843,0.05201,0.0014852,0.0014852,0.0014852
15,4934.27,0.65118,0.48942,0.05878,0.85045,0.84831,0.87376,0.44276,0.5444,0.5247,0.05054,0.0014456,0.0014456,0.0014456
16,5261.82,0.64838,0.48654,0.05813,0.8744,0.85367,0.90611,0.45738,0.52743,0.5224,0.04801,0.001406,0.001406,0.001406
17,5592.55,0.64505,0.48245,0.05844,0.87081,0.86056,0.8993,0.44852,0.53731,0.51176,0.04867,0.0013664,0.0013664,0.0013664
18,5919.13,0.6433,0.49416,0.05931,0.85421,0.84788,0.88865,0.44628,0.5416,0.51023,0.04911,0.0013268,0.0013268,0.0013268
19,6244.93,0.63527,0.47848,0.05695,0.87462,0.86246,0.90186,0.45272,0.52978,0.51006,0.04911,0.0012872,0.0012872,0.0012872
20,6573.96,0.62525,0.4822,0.05512,0.87118,0.86897,0.91265,0.4645,0.53081,0.50125,0.04959,0.0012476,0.0012476,0.0012476
