epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.166,2.24802,2.02099,1.13725,0.57919,0.54155,0.54529,0.22472,2.15209,5.06117,1.07481,0.000665339,0.000665339,0.000665339
2,690.41,2.26806,1.80172,1.13612,0.49406,0.42278,0.39662,0.14535,2.53911,2.12807,1.16872,0.00130563,0.00130563,0.00130563
3,1026.72,2.2301,1.78209,1.1214,0.63021,0.5679,0.59465,0.22949,2.28809,3.99557,1.08188,0.00191952,0.00191952,0.00191952
4,1367.64,2.152,1.66116,1.09355,0.49681,0.51236,0.4725,0.19489,2.0898,1.84118,1.02911,0.0018812,0.0018812,0.0018812
5,1702.63,2.11419,1.5685,1.08665,0.5908,0.59951,0.56814,0.22682,2.06477,2.27877,1.03047,0.0018416,0.0018416,0.0018416
6,2038.29,2.05222,1.50388,1.0695,0.68826,0.66923,0.71156,0.30878,1.94258,1.61754,1.00143,0.001802,0.001802,0.001802
7,2375.79,2.04134,1.46628,1.06536,0.70164,0.6949,0.73696,0.32929,1.91716,1.76584,1.00026,0.0017624,0.0017624,0.0017624
8,2718.61,2.02371,1.46172,1.05307,0.71563,0.66234,0.72324,0.31643,2.02244,1.70022,1.01448,0.0017228,0.0017228,0.0017228
9,3057.06,2.02207,1.4603,1.04667,0.70385,0.67244,0.72569,0.33153,1.93742,1.58593,1.00782,0.0016832,0.0016832,0.0016832
10,3403.41,1.97817,1.39569,1.04298,0.78159,0.72598,0.78143,0.36086,1.943,1.4696,0.99599,0.0016436,0.0016436,0.0016436
11,3743.65,1.96859,1.36398,1.03851,0.73689,0.63883,0.70678,0.32525,1.96446,1.5557,0.99094,0.001604,0.001604,0.001604
12,4083.39,1.94096,1.31677,1.02307,0.7371,0.68416,0.74066,0.35079,1.82257,1.33931,0.97196,0.0015644,0.0015644,0.0015644
13,4420.26,1.9306,1.306,1.02366,0.69814,0.69437,0.73824,0.30922,2.04641,1.51738,1.00967,0.0015248,0.0015248,0.0015248
14,4760.5,1.93484,1.33577,1.03029,0.84714,0.70693,0.79848,0.38962,1.88111,1.2744,0.98938,0.0014852,0.0014852,0.0014852
15,5107.36,1.91943,1.28435,1.01742,0.80367,0.75598,0.82689,0.39615,1.77037,1.2562,0.95805,0.0014456,0.0014456,0.0014456
16,5454.8,1.9,1.27663,1.01375,0.82238,0.73005,0.80742,0.39937,1.78754,1.2554,0.97041,0.001406,0.001406,0.001406
17,5803.26,1.8925,1.26013,1.01297,0.81526,0.68058,0.79434,0.39592,1.80055,1.27611,0.96056,0.0013664,0.0013664,0.0013664
18,6143.84,1.89404,1.25176,1.01048,0.81792,0.76165,0.84085,0.41668,1.75275,1.18355,0.9577,0.0013268,0.0013268,0.0013268
19,6492.88,1.86794,1.22009,1.00677,0.78941,0.73247,0.81412,0.41372,1.69633,1.17161,0.94362,0.0012872,0.0012872,0.0012872
20,6830.51,1.8774,1.2314,1.00303,0.81635,0.75476,0.83307,0.41559,1.7208,1.17249,0.95104,0.0012476,0.0012476,0.0012476
21,7169.78,1.8524,1.1871,0.99634,0.84177,0.78152,0.85059,0.43221,1.72535,1.21611,0.94949,0.001208,0.001208,0.001208
